recipe_id,uuid,name,local_image,image_url
10094,8756fdb9-d116-5984-81c1-6afac8b17f83,Bean and Sausage Feijoada,food_dataset_v2\recipe_images\10094_bean_and_sausage_feijoada.jpg,cloudflare_url/recipe_images/8756fdb9-d116-5984-81c1-6afac8b17f83.jpg
9709,dfb97dc7-9f6c-574e-8739-cd52ca0074c5,Bean and Vegetable Stew,food_dataset_v2\recipe_images\9709_bean_and_vegetable_stew.jpg,cloudflare_url/recipe_images/dfb97dc7-9f6c-574e-8739-cd52ca0074c5.jpg
10035,fcb20cdd-4140-5cd0-ae97-eaa8e8f85657,Beef Carpaccio with Olive Oil,food_dataset_v2\recipe_images\10035_beef_carpaccio_with_olive_oil.jpg,cloudflare_url/recipe_images/fcb20cdd-4140-5cd0-ae97-eaa8e8f85657.jpg
10044,d96ffd7f-c709-54d7-a4b5-60f58a311d62,Beef Carpetbag Steak Portuguese Style,food_dataset_v2\recipe_images\10044_beef_carpetbag_steak_portuguese_style.jpg,cloudflare_url/recipe_images/d96ffd7f-c709-54d7-a4b5-60f58a311d62.jpg
9422,51e0014c-36c2-52e2-beff-e5d2c7e3ea55,Beef Casserole with Root Vegetables,food_dataset_v2\recipe_images\9422_beef_casserole_with_root_vegetables.jpg,cloudflare_url/recipe_images/51e0014c-36c2-52e2-beff-e5d2c7e3ea55.jpg
9389,cac59380-b13b-5a75-afc5-b10e84065c89,Beef Cheeks Braised in Red Wine,food_dataset_v2\recipe_images\9389_beef_cheeks_braised_in_red_wine.jpg,cloudflare_url/recipe_images/cac59380-b13b-5a75-afc5-b10e84065c89.jpg
9393,c7607aa1-7d24-5086-a9e0-ef3cf939e287,Beef Croquettes,food_dataset_v2\recipe_images\9393_beef_croquettes.jpg,cloudflare_url/recipe_images/c7607aa1-7d24-5086-a9e0-ef3cf939e287.jpg
9385,97a61917-6a01-5a4c-b453-f5ff58fc40e8,Beef Espetada Madeira Style,food_dataset_v2\recipe_images\9385_beef_espetada_madeira_style.jpg,cloudflare_url/recipe_images/97a61917-6a01-5a4c-b453-f5ff58fc40e8.jpg
9431,03b02e1b-22be-51e3-bcae-20922ea45cb3,Beef Fillet Rossini Portuguese Style,food_dataset_v2\recipe_images\9431_beef_fillet_rossini_portuguese_style.jpg,cloudflare_url/recipe_images/03b02e1b-22be-51e3-bcae-20922ea45cb3.jpg
5482,82b28454-387f-5f69-a5c3-5b139b4e1043,Arroz Caldoso De Bogavante,food_dataset_v2\recipe_images\5482_arroz_caldoso_de_bogavante.jpg,cloudflare_url/recipe_images/82b28454-387f-5f69-a5c3-5b139b4e1043.jpg
5487,04cae915-6c85-54b8-b5c6-27d650629594,Arroz Caldoso De Marisco,food_dataset_v2\recipe_images\5487_arroz_caldoso_de_marisco.jpg,cloudflare_url/recipe_images/04cae915-6c85-54b8-b5c6-27d650629594.jpg
5504,3bbb8591-e0c0-5589-b8f1-13da6b43ddfd,Arroz Caldoso with Iberian Pork Secreto,food_dataset_v2\recipe_images\5504_arroz_caldoso_with_iberian_pork_secreto.jpg,cloudflare_url/recipe_images/3bbb8591-e0c0-5589-b8f1-13da6b43ddfd.jpg
6256,c25ca4d7-113a-59c7-9205-e92ff4e853b9,Arroz Con Almejas,food_dataset_v2\recipe_images\6256_arroz_con_almejas.jpg,cloudflare_url/recipe_images/c25ca4d7-113a-59c7-9205-e92ff4e853b9.jpg
5492,6c0a8d13-ec98-593e-a092-6e7208e7721e,Arroz Con Bacalao,food_dataset_v2\recipe_images\5492_arroz_con_bacalao.jpg,cloudflare_url/recipe_images/6c0a8d13-ec98-593e-a092-6e7208e7721e.jpg
5488,023bbc6d-c956-52f9-b592-85b475bfa76d,Arroz Con Bogavante,food_dataset_v2\recipe_images\5488_arroz_con_bogavante.jpg,cloudflare_url/recipe_images/023bbc6d-c956-52f9-b592-85b475bfa76d.jpg
5512,9146ee88-877b-5907-8ef2-5723baef6e9a,Arroz Con Carabineros,food_dataset_v2\recipe_images\5512_arroz_con_carabineros.jpg,cloudflare_url/recipe_images/9146ee88-877b-5907-8ef2-5723baef6e9a.jpg
5686,bb3c2100-06ba-533e-99c3-1058cff9ce9e,Arroz Con Cigalas,food_dataset_v2\recipe_images\5686_arroz_con_cigalas.jpg,cloudflare_url/recipe_images/bb3c2100-06ba-533e-99c3-1058cff9ce9e.jpg
5484,d07f585a-f714-5daf-88ee-dec73edac435,Arroz Con Costillas,food_dataset_v2\recipe_images\5484_arroz_con_costillas.jpg,cloudflare_url/recipe_images/d07f585a-f714-5daf-88ee-dec73edac435.jpg
5480,42c2da8c-9629-55d5-ad0c-397339129925,Arroz Con Costra,food_dataset_v2\recipe_images\5480_arroz_con_costra.jpg,cloudflare_url/recipe_images/42c2da8c-9629-55d5-ad0c-397339129925.jpg
2826,158ded4d-38d8-50af-bc5f-3a0330dc3e3f,Corn in Coconut Milk,food_dataset_v2\recipe_images\2826_corn_in_coconut_milk.jpg,cloudflare_url/recipe_images/158ded4d-38d8-50af-bc5f-3a0330dc3e3f.jpg
3216,74d6cc42-385f-5e5b-928c-91639ecce874,Crispy Pancake Roll Khanom Babin,food_dataset_v2\recipe_images\3216_crispy_pancake_roll_khanom_babin.jpg,cloudflare_url/recipe_images/74d6cc42-385f-5e5b-928c-91639ecce874.jpg
2934,cd92134c-da77-5c6c-a83f-e80069e346cc,Dragonfruit Smoothie Thai Style,food_dataset_v2\recipe_images\2934_dragonfruit_smoothie_thai_style.jpg,cloudflare_url/recipe_images/cd92134c-da77-5c6c-a83f-e80069e346cc.jpg
2404,d369177f-bd21-5b89-b5c6-bd77fce078ee,Drunken Noodles with Pork,food_dataset_v2\recipe_images\2404_drunken_noodles_with_pork.jpg,cloudflare_url/recipe_images/d369177f-bd21-5b89-b5c6-bd77fce078ee.jpg
2811,b902c7b5-b19a-52ae-be86-5823c0838e80,Durian Sticky Rice,food_dataset_v2\recipe_images\2811_durian_sticky_rice.jpg,cloudflare_url/recipe_images/b902c7b5-b19a-52ae-be86-5823c0838e80.jpg
2834,9f75e94d-ed9f-5444-a8de-2cc845b42e8d,Egg Floss Foi Thong Shredded,food_dataset_v2\recipe_images\2834_egg_floss_foi_thong_shredded.jpg,cloudflare_url/recipe_images/9f75e94d-ed9f-5444-a8de-2cc845b42e8d.jpg
2513,3ada82b1-01a8-5e98-8307-3ab625a8ceed,Fish Ball Noodle Soup,food_dataset_v2\recipe_images\2513_fish_ball_noodle_soup.jpg,cloudflare_url/recipe_images/3ada82b1-01a8-5e98-8307-3ab625a8ceed.jpg
2907,b2ec4049-dc20-5c2c-8833-647fa2f0142d,Fresh Lime Juice Nam Manao,food_dataset_v2\recipe_images\2907_fresh_lime_juice_nam_manao.jpg,cloudflare_url/recipe_images/b2ec4049-dc20-5c2c-8833-647fa2f0142d.jpg
2852,491cbe52-59c8-5dc1-8a99-7ad4db32bc5c,Fried Sweet Potato Balls,food_dataset_v2\recipe_images\2852_fried_sweet_potato_balls.jpg,cloudflare_url/recipe_images/491cbe52-59c8-5dc1-8a99-7ad4db32bc5c.jpg
2861,1bb6ed09-6293-5b76-bf10-127e3d38c56e,Fruit with Chili Salt Dip,food_dataset_v2\recipe_images\2861_fruit_with_chili_salt_dip.jpg,cloudflare_url/recipe_images/1bb6ed09-6293-5b76-bf10-127e3d38c56e.jpg
6763,2b0fc108-1e16-5244-a10d-2752b1be4dae,Ankara Pan-fried Lamb Cubes,food_dataset_v2\recipe_images\6763_ankara_pan_fried_lamb_cubes.jpg,cloudflare_url/recipe_images/2b0fc108-1e16-5244-a10d-2752b1be4dae.jpg
7152,0b8f0b51-c47c-5f02-9e0d-1daa0b9ffe86,Anne Kurabiyesi,food_dataset_v2\recipe_images\7152_anne_kurabiyesi.jpg,cloudflare_url/recipe_images/0b8f0b51-c47c-5f02-9e0d-1daa0b9ffe86.jpg
6701,ba18a497-9620-5944-93d1-0c7e9238cf9b,Antalya Piyazı,food_dataset_v2\recipe_images\6701_antalya_piyazı.jpg,cloudflare_url/recipe_images/ba18a497-9620-5944-93d1-0c7e9238cf9b.jpg
6799,8429f888-2cad-5177-a9ce-c5433166292c,Antalya Tahini Bean Salad,food_dataset_v2\recipe_images\6799_antalya_tahini_bean_salad.jpg,cloudflare_url/recipe_images/8429f888-2cad-5177-a9ce-c5433166292c.jpg
6674,1541b4d3-165f-5cce-9c67-b3a6c352b344,Antep Baklava,food_dataset_v2\recipe_images\6674_antep_baklava.jpg,cloudflare_url/recipe_images/1541b4d3-165f-5cce-9c67-b3a6c352b344.jpg
6757,ceaa88d2-4af2-5d64-a9da-f62643abe6db,Antep Katmer,food_dataset_v2\recipe_images\6757_antep_katmer.jpg,cloudflare_url/recipe_images/ceaa88d2-4af2-5d64-a9da-f62643abe6db.jpg
6825,4abbb9c4-5aa7-56e2-a17d-26011692c485,Antep Kebab,food_dataset_v2\recipe_images\6825_antep_kebab.jpg,cloudflare_url/recipe_images/4abbb9c4-5aa7-56e2-a17d-26011692c485.jpg
7104,852a80f9-230b-510f-8fd7-43dcd63acae6,Apple Tea,food_dataset_v2\recipe_images\7104_apple_tea.jpg,cloudflare_url/recipe_images/852a80f9-230b-510f-8fd7-43dcd63acae6.jpg
6684,a21bf387-332d-52cd-8aea-7a0d1af85b06,Apricot Jam,food_dataset_v2\recipe_images\6684_apricot_jam.jpg,cloudflare_url/recipe_images/a21bf387-332d-52cd-8aea-7a0d1af85b06.jpg
7110,a3fdabb9-062a-56cb-90ee-b99d0cb4084c,Apricot Juice,food_dataset_v2\recipe_images\7110_apricot_juice.jpg,cloudflare_url/recipe_images/a3fdabb9-062a-56cb-90ee-b99d0cb4084c.jpg
87,6ef963a3-3d34-5d95-9b29-8cb1bac7c082,BBQ Beef Brisket Point,food_dataset_v2\recipe_images\87_bbq_beef_brisket_point.jpg,cloudflare_url/recipe_images/6ef963a3-3d34-5d95-9b29-8cb1bac7c082.jpg
54,998cea5e-ea6c-56e5-9737-e9b46f672b9b,BBQ Beef Sausage,food_dataset_v2\recipe_images\54_bbq_beef_sausage.jpg,cloudflare_url/recipe_images/998cea5e-ea6c-56e5-9737-e9b46f672b9b.jpg
63,10ea2b3d-7b76-5961-aaf9-f1c7ec678dba,BBQ Beef Short Ribs,food_dataset_v2\recipe_images\63_bbq_beef_short_ribs.jpg,cloudflare_url/recipe_images/10ea2b3d-7b76-5961-aaf9-f1c7ec678dba.jpg
67,fe312efb-23bf-58c5-b596-e4155206b0f2,BBQ Brisket Tacos,food_dataset_v2\recipe_images\67_bbq_brisket_tacos.jpg,cloudflare_url/recipe_images/fe312efb-23bf-58c5-b596-e4155206b0f2.jpg
